id,created_at,full_name,email,phone,lead_source,agent_assigned,last_activity,last_stage_change,stage,tags,notes,next_task_due,last_call_duration,call_count,email_count
110,2025-03-07 01:14:40,Madeline Bennett,mahoneyrichard@murphy.com,314.873.9013x5530,Instagram,Brian Harris,2025-04-01 01:14:40,2025-04-24 01:14:40,New,"ever, cut",Father like spring choose power subject.,2025-04-02 01:14:40,12,3,1
111,2025-02-08 08:15:48,Sabrina Haynes,jesse36@key.com,+1-484-996-7975,Organic,Shane Delgado,2025-03-02 08:15:48,2025-03-17 08:15:48,Contacted,north,Measure page leader crime sort they money at.,2025-03-11 08:15:48,4,4,8
112,2025-07-20 05:36:59,Aaron Wilcox,richard25@gmail.com,8938145915,Instagram,Shane Delgado,2025-08-05 05:36:59,2025-08-29 05:36:59,Under Contract,run,Step likely behavior purpose different necessary building.,2025-08-07 05:36:59,24,5,9
113,2025-05-28 06:15:25,Ryan Raymond,nrobinson@martin.org,882.045.6803x0236,Facebook,Jeffrey Bass,2025-06-20 06:15:25,2025-07-10 06:15:25,Active,"he, run, person",Mind want indicate suddenly measure impact.,2025-06-25 06:15:25,20,2,2
114,2025-01-24 08:16:14,Christy Jones,sabrina09@moran.info,+1-831-645-5643,Google Ads,Jonathan Stevenson,2025-02-16 08:16:14,2025-03-01 08:16:14,Dead,"attorney, over, form",Allow wife government rest budget.,2025-02-24 08:16:14,30,1,9
115,2025-05-14 21:40:05,James Hawkins,zcharles@lewis-murphy.com,(556)395-9070x4469,Organic,Shane Delgado,2025-06-04 21:40:05,2025-06-18 21:40:05,Active,"here, me, everything",Edge population whatever face free.,2025-06-06 21:40:05,1,0,7
116,2025-06-27 22:17:44,Alyssa Garza,harrisonmonique@hotmail.com,(891)881-4991,Organic,Tamara Davis,2025-07-19 22:17:44,2025-07-20 22:17:44,New,hot,Mouth require without painting general.,2025-07-23 22:17:44,20,1,3
117,2025-02-07 12:57:18,Travis Sanford,caroljensen@gmail.com,+1-687-424-5043,Google Ads,Linda Macdonald,2025-02-08 12:57:18,2025-02-12 12:57:18,Contacted,"face, concern",Above region say.,2025-02-15 12:57:18,18,0,9
118,2025-01-25 19:47:45,Sandra Brown,stevejohnson@hotmail.com,(093)979-9176x7284,Referral,Melinda Lowe,2025-02-21 19:47:45,2025-03-06 19:47:45,New,"cultural, window",Behind beautiful never.,2025-02-24 19:47:45,5,0,5
119,2025-02-10 19:29:06,Steven Mathis,hmckay@walker.com,(221)135-8397x124,Facebook,Roger Davis,2025-02-13 19:29:06,2025-02-14 19:29:06,Contacted,"office, science, benefit",Mission effect set those.,2025-02-19 19:29:06,18,4,3
120,2025-06-14 08:55:57,Aaron Cortez,whurst@yahoo.com,+1-950-981-5264,Zillow,Linda Macdonald,2025-07-05 08:55:57,2025-07-09 08:55:57,Appointment Set,"training, other",Half local others choice.,2025-07-09 08:55:57,19,1,8
121,2025-03-09 18:56:15,Daniel Jones,newmanrobert@guzman.info,001-225-429-1509x413,Zillow,Shane Delgado,2025-03-11 18:56:15,2025-03-26 18:56:15,Appointment Set,house,Heavy job well prevent do police.,2025-03-16 18:56:15,2,3,1
122,2025-05-10 21:28:44,Harry Stanley,jonesdonna@chen.com,7557886171,Facebook,Melinda Lowe,2025-05-16 21:28:44,2025-05-30 21:28:44,Active,"strategy, debate",Learn use heavy material bring.,2025-05-24 21:28:44,10,0,7
123,2025-07-13 00:26:09,Sierra Alexander,roger35@gmail.com,(894)607-0965x808,Organic,Michelle Richardson DVM,2025-07-17 00:26:09,2025-08-10 00:26:09,Closed,claim,Nor toward certainly management close.,2025-07-18 00:26:09,25,1,0
124,2025-05-14 08:18:59,Danielle Baldwin,jasonwilliams@hotmail.com,(118)350-2133x5651,Zillow,Linda Macdonald,2025-05-22 08:18:59,2025-05-23 08:18:59,Dead,"speak, hospital, into",Discussion physical clear size charge find tree whose.,2025-05-30 08:18:59,15,0,2
125,2025-01-01 05:12:03,Sydney Bright MD,stephenmaldonado@english.com,950.346.6227x2298,Zillow,Linda Macdonald,2025-01-02 05:12:03,2025-01-05 05:12:03,Under Contract,"rest, morning, science",Star pass enjoy cup least recently.,2025-01-03 05:12:03,6,1,2
126,2025-06-27 10:03:35,Leslie Anderson,robbinsjacob@hill.biz,(094)008-8889,Referral,Melinda Lowe,2025-06-30 10:03:35,2025-07-20 10:03:35,Dead,"teacher, agreement, prove",Mean stuff side.,2025-07-04 10:03:35,29,0,2
127,2025-02-04 03:07:02,Thomas Black,curtis78@yahoo.com,831-515-5180x7157,Organic,Shane Delgado,2025-02-18 03:07:02,2025-03-07 03:07:02,New,"statement, federal",Happen current government less.,2025-02-28 03:07:02,20,1,3
128,2025-04-14 03:51:09,Brandon Smith,mccluremary@rodgers.org,001-558-033-1342x185,Zillow,Rita Curry,2025-05-04 03:51:09,2025-05-26 03:51:09,Dead,"weight, Democrat, affect",To mean better know.,2025-05-09 03:51:09,20,5,7
129,2025-06-14 01:49:33,Paige Fox,cummingsrenee@adams-ruiz.com,985.294.3868x193,Referral,Melinda Lowe,2025-07-08 01:49:33,2025-08-01 01:49:33,New,before,Value foot national.,2025-07-12 01:49:33,15,0,10
130,2025-06-09 16:04:41,Sabrina Williams,hernandezteresa@parks-stanley.com,+1-004-088-8488x392,Instagram,Linda Macdonald,2025-06-15 16:04:41,2025-07-11 16:04:41,Under Contract,"daughter, begin",Reduce necessary cell situation usually manage.,2025-06-25 16:04:41,22,5,10
131,2025-06-10 17:24:54,Daniel Oliver,matthewsdan@snow.com,001-930-198-4740x642,Zillow,Brian Harris,2025-06-23 17:24:54,2025-06-30 17:24:54,New,just,Mission soldier or on guess task tax century.,2025-06-30 17:24:54,4,4,0
132,2025-01-13 03:05:18,Frank Gibbs,connor94@yahoo.com,+1-571-654-5289x63716,Organic,Jonathan Stevenson,2025-01-30 03:05:18,2025-02-09 03:05:18,Under Contract,heart,Interview bed science drive.,2025-02-04 03:05:18,15,4,3
133,2025-03-17 23:24:43,Anthony Gonzalez,ngarcia@larson.com,001-228-523-7304x100,Google Ads,Michelle Richardson DVM,2025-03-21 23:24:43,2025-04-09 23:24:43,Closed,spend,Improve example evening behind force and.,2025-03-26 23:24:43,20,0,2
134,2025-01-06 06:58:39,Tammy Snyder,kjohnson@martin.com,478-267-1790x748,Referral,Jonathan Stevenson,2025-01-25 06:58:39,2025-02-21 06:58:39,Contacted,affect,She traditional court month.,2025-01-29 06:58:39,13,1,2
135,2025-04-29 01:39:17,Debra Brooks,kyle21@hotmail.com,127.304.5955x5752,Facebook,Michelle Richardson DVM,2025-05-11 01:39:17,2025-05-19 01:39:17,Dead,"sell, reflect",Type wide and purpose picture once song.,2025-05-14 01:39:17,29,4,7
136,2025-01-28 02:51:56,Victor Woods,stevenjones@gmail.com,001-809-102-4070,Zillow,Brian Harris,2025-01-31 02:51:56,2025-02-04 02:51:56,Active,"right, book",Sport lose decade.,2025-02-03 02:51:56,25,5,9
137,2025-06-10 16:50:06,Jacqueline Chang,nolanwilliam@yahoo.com,957.574.6259,Facebook,Jonathan Stevenson,2025-07-01 16:50:06,2025-07-13 16:50:06,Closed,"back, culture",Friend apply along administration response meet stock my.,2025-07-04 16:50:06,27,3,2
138,2025-06-16 10:27:06,Jonathan Cross,matthew52@becker.com,(906)914-8178x0412,Facebook,Rita Curry,2025-06-29 10:27:06,2025-07-13 10:27:06,Under Contract,"part, other, probably",Ok where production common.,2025-06-30 10:27:06,14,1,0
139,2025-04-13 12:59:40,Danielle Welch,pamelahernandez@pope-williams.info,280.075.7977x7596,Referral,Jonathan Stevenson,2025-04-29 12:59:40,2025-05-11 12:59:40,New,tax,Serious break give certain surface.,2025-05-04 12:59:40,13,1,9
140,2025-01-19 23:06:46,Joshua Smith,chrisnguyen@jones.com,3022868896,Google Ads,Melinda Lowe,2025-02-13 23:06:46,2025-03-08 23:06:46,Closed,individual,Arm responsibility save film.,2025-02-14 23:06:46,20,2,7
141,2025-01-31 10:08:34,Adam Allen,omar21@gmail.com,955-594-9487,Organic,Tamara Davis,2025-03-01 10:08:34,2025-03-03 10:08:34,Closed,"care, give, mouth",There produce early physical this particularly state.,2025-03-06 10:08:34,8,4,5
142,2025-01-27 02:58:14,Luis Barnes,carrollluke@cox.com,140.886.3298,Organic,Tamara Davis,2025-02-17 02:58:14,2025-03-04 02:58:14,Contacted,rich,Former course right full.,2025-02-21 02:58:14,27,4,10
143,2025-01-03 06:40:35,Sean Palmer,jonesricky@foster.info,+1-865-990-1653x289,Instagram,Jonathan Stevenson,2025-01-31 06:40:35,2025-02-09 06:40:35,Closed,hope,Structure Republican sea employee.,2025-02-03 06:40:35,28,3,9
144,2025-01-26 20:42:59,Kyle Powell,samuel78@hotmail.com,(264)288-4620x4595,Facebook,Tamara Davis,2025-02-04 20:42:59,2025-02-14 20:42:59,Appointment Set,"begin, hundred, deal",Indicate manage easy owner political decade show.,2025-02-13 20:42:59,15,4,10
145,2025-06-04 13:02:45,Matthew Burke,iquinn@gmail.com,+1-642-050-5316x5279,Referral,Melinda Lowe,2025-07-03 13:02:45,2025-07-13 13:02:45,Dead,"this, soldier, add",Spring ago conference strategy country draw.,2025-07-04 13:02:45,30,1,5
146,2025-05-04 06:40:41,Robert Baker,kirbysherry@yahoo.com,596.177.1182x71029,Referral,Rita Curry,2025-05-05 06:40:41,2025-05-29 06:40:41,Dead,"fast, listen",Live sometimes table summer market if.,2025-05-12 06:40:41,18,4,9
147,2025-01-18 10:47:21,Alexandra Manning,forbessarah@hotmail.com,+1-125-110-9666,Organic,Tamara Davis,2025-02-12 10:47:21,2025-02-22 10:47:21,New,home,Hear especially risk plan clear out view.,2025-02-20 10:47:21,12,3,6
148,2025-05-28 19:42:07,Jody Krause,danieldavis@hotmail.com,9861598078,Google Ads,Brian Harris,2025-06-14 19:42:07,2025-07-08 19:42:07,New,"age, process",Effect tax talk source anything property.,2025-06-24 19:42:07,24,3,10
149,2025-04-10 21:22:35,Jonathan Lopez,marymoore@hotmail.com,(988)964-1719,Zillow,Jeffrey Bass,2025-04-26 21:22:35,2025-05-11 21:22:35,Active,"individual, start",Increase draw almost.,2025-05-04 21:22:35,14,3,9
150,2025-02-28 01:22:24,Christopher May,aprildavis@hotmail.com,279.570.2254x8479,Facebook,Linda Macdonald,2025-03-17 01:22:24,2025-04-02 01:22:24,Appointment Set,"reveal, guess, blood",Choice size together fear capital culture yes.,2025-03-18 01:22:24,17,2,10
151,2025-05-25 16:31:55,Christine Compton,georgenguyen@barrett.com,001-536-315-5566x2573,Facebook,Linda Macdonald,2025-06-23 16:31:55,2025-07-12 16:31:55,Appointment Set,"one, nor, high",Management year subject human.,2025-07-01 16:31:55,18,4,2
152,2025-06-10 21:26:25,Hannah Martinez,connorsalazar@gmail.com,944-173-0090x63905,Instagram,Shane Delgado,2025-06-23 21:26:25,2025-07-01 21:26:25,Appointment Set,economic,This well view boy.,2025-06-27 21:26:25,10,1,0
153,2025-05-19 01:13:56,Rebecca Jackson,uallen@gmail.com,752-316-1815x85692,Referral,Michelle Richardson DVM,2025-06-17 01:13:56,2025-06-20 01:13:56,Dead,"south, someone, that",Whom draw during same great him experience.,2025-06-26 01:13:56,30,2,1
154,2025-03-29 10:39:17,Dwayne Stewart,justin43@hotmail.com,(288)454-0248x7500,Instagram,Michelle Richardson DVM,2025-04-10 10:39:17,2025-04-30 10:39:17,Closed,situation,Even public raise tend away together black.,2025-04-20 10:39:17,1,5,7
155,2025-02-15 06:31:20,Colton Rodriguez,vickie53@quinn.com,831.928.7686,Google Ads,Melinda Lowe,2025-03-07 06:31:20,2025-04-01 06:31:20,Closed,poor,Heavy these environmental away official.,2025-03-13 06:31:20,28,4,6
156,2025-05-21 19:57:12,Anthony Warner,charlotteingram@gonzalez.com,2339454704,Zillow,Melinda Lowe,2025-06-17 19:57:12,2025-06-23 19:57:12,New,"there, set",In model far technology style bed.,2025-06-23 19:57:12,22,1,5
157,2025-06-26 03:49:17,Eric Kidd II,casey37@gmail.com,+1-625-104-7157x578,Organic,Tamara Davis,2025-07-09 03:49:17,2025-07-24 03:49:17,Under Contract,bed,Throw pay yourself couple film.,2025-07-13 03:49:17,29,3,1
158,2025-02-09 15:39:39,Shawna Hanson,ujones@gmail.com,001-904-325-7359x31654,Facebook,Roger Davis,2025-02-23 15:39:39,2025-03-23 15:39:39,Dead,out,A focus local plan speech care bit.,2025-03-03 15:39:39,24,1,10
159,2025-05-10 03:11:12,Renee Bradley,margaretcompton@farmer.com,+1-467-981-4716x99995,Instagram,Linda Macdonald,2025-05-21 03:11:12,2025-05-28 03:11:12,New,data,Increase her own make so training air.,2025-05-29 03:11:12,20,1,7
160,2025-05-24 14:50:41,Debra Little,lindsay73@rose-anderson.com,388.877.6439x86009,Instagram,Roger Davis,2025-06-10 14:50:41,2025-06-16 14:50:41,Appointment Set,"real, wear, yes",Who product reality art growth.,2025-06-17 14:50:41,12,0,5
161,2025-03-29 20:25:45,Diamond Wilson,wleonard@evans-harris.biz,+1-659-005-0578x809,Google Ads,Michelle Richardson DVM,2025-04-26 20:25:45,2025-05-14 20:25:45,Active,"recognize, hold, million",Peace also name know.,2025-05-03 20:25:45,8,2,1
162,2025-03-25 02:20:42,Thomas Hernandez,andrewyoung@yahoo.com,(153)806-6431x3214,Instagram,Jonathan Stevenson,2025-03-26 02:20:42,2025-04-18 02:20:42,Dead,"on, her, note",Wall open material determine in science follow.,2025-04-04 02:20:42,6,3,5
163,2025-05-05 05:36:47,Adam Zimmerman,hwong@gmail.com,048.172.5968,Organic,Michelle Richardson DVM,2025-05-25 05:36:47,2025-06-09 05:36:47,New,"clearly, purpose",Level place analysis character guy.,2025-06-04 05:36:47,10,0,3
164,2025-06-13 08:16:59,Maria Woodard,kyleramsey@perez.com,1723073025,Facebook,Jeffrey Bass,2025-06-29 08:16:59,2025-07-21 08:16:59,Contacted,"eight, feel",View skill while.,2025-07-04 08:16:59,17,5,1
165,2025-03-03 15:46:37,Brandon Morrison,ymckee@yahoo.com,964.804.1032x05565,Google Ads,Jeffrey Bass,2025-03-18 15:46:37,2025-03-29 15:46:37,Closed,although,Final expect article look.,2025-03-19 15:46:37,28,1,6
166,2025-01-06 02:53:05,Dr. James Davis,larry26@bailey-taylor.com,769-195-8219x8555,Referral,Jeffrey Bass,2025-01-10 02:53:05,2025-01-30 02:53:05,Appointment Set,"describe, position, travel",No protect around especially.,2025-01-13 02:53:05,7,0,7
167,2025-04-06 05:19:45,Andrea Howell,vstevens@carlson.com,+1-702-564-4389x00710,Organic,Jonathan Stevenson,2025-04-17 05:19:45,2025-04-28 05:19:45,Active,education,Simply operation summer before.,2025-04-23 05:19:45,17,4,7
168,2025-04-16 18:01:31,James Manning,davidsmith@bowers.com,971.656.2696x662,Google Ads,Melinda Lowe,2025-05-06 18:01:31,2025-05-16 18:01:31,Closed,"weight, letter, impact",Specific participant goal black will.,2025-05-11 18:01:31,13,0,0
169,2025-03-27 16:54:55,Michael Cameron V,rebeccawest@sanders.com,988-904-0566x1873,Referral,Shane Delgado,2025-04-04 16:54:55,2025-04-15 16:54:55,Contacted,inside,Father final magazine approach ask discover wonder sign.,2025-04-07 16:54:55,18,0,7
170,2025-07-20 09:30:00,Angela Bailey,diana06@benitez.com,001-858-016-2611,Google Ads,Tamara Davis,2025-07-30 09:30:00,2025-08-21 09:30:00,Contacted,"wife, song",Site tell any country position.,2025-08-01 09:30:00,21,0,9
171,2025-06-21 05:47:33,Sarah Smith,anthonyhaynes@ruiz.com,4686455807,Instagram,Brian Harris,2025-07-13 05:47:33,2025-08-02 05:47:33,Under Contract,social,Young news sea wait international.,2025-07-20 05:47:33,16,1,7
172,2025-01-29 19:21:25,Christopher Ray,molinaalicia@mcdonald-adams.info,711-312-4563x126,Referral,Michelle Richardson DVM,2025-02-07 19:21:25,2025-03-04 19:21:25,Closed,"whatever, natural, instead",Learn guess full action.,2025-02-12 19:21:25,23,2,8
173,2025-07-24 18:11:51,Robin Smith,ekhan@kelley.org,+1-691-072-3018,Organic,Brian Harris,2025-08-06 18:11:51,2025-08-11 18:11:51,Appointment Set,sell,Face along debate enough born common.,2025-08-14 18:11:51,4,1,7
174,2025-02-15 03:58:42,Linda Peterson,webbchris@hotmail.com,0453909482,Zillow,Tamara Davis,2025-03-08 03:58:42,2025-04-05 03:58:42,Appointment Set,trial,Tough across rate interesting health.,2025-03-12 03:58:42,11,0,9
175,2025-03-27 19:27:20,Angelica Bond,mcdonaldkatherine@stone-stark.biz,6266634157,Referral,Roger Davis,2025-04-25 19:27:20,2025-05-09 19:27:20,Contacted,"family, poor, have",Want debate financial but company.,2025-04-28 19:27:20,21,4,9
176,2025-02-12 05:26:40,Dawn Wells,xparker@yahoo.com,+1-114-639-1869x471,Facebook,Rita Curry,2025-02-19 05:26:40,2025-03-16 05:26:40,Active,"such, ground, consider",Bill security notice total house spring stock.,2025-02-24 05:26:40,19,1,6
177,2025-05-18 06:55:27,Chris Escobar,aroberts@hotmail.com,536-780-1473x134,Referral,Shane Delgado,2025-06-17 06:55:27,2025-07-07 06:55:27,Dead,"base, think",Down with expert kitchen tough send food late.,2025-06-20 06:55:27,20,3,5
178,2025-01-21 17:16:54,Pamela Olsen,jonesheather@white.biz,517.837.2591x436,Facebook,Jeffrey Bass,2025-02-10 17:16:54,2025-03-12 17:16:54,Appointment Set,"set, military, leave",If involve doctor.,2025-02-12 17:16:54,21,1,0
179,2025-03-28 04:42:33,Jennifer Brown,williamsrichard@hancock.com,+1-622-385-2178x0711,Referral,Brian Harris,2025-04-14 04:42:33,2025-04-21 04:42:33,Active,"kind, glass",Environmental measure police worker statement parent.,2025-04-18 04:42:33,9,0,6
180,2025-02-24 08:49:30,Alyssa James,allen14@gmail.com,(391)940-5128x8011,Zillow,Rita Curry,2025-02-27 08:49:30,2025-03-05 08:49:30,Appointment Set,"sea, sense",Could be none.,2025-03-02 08:49:30,15,2,1
181,2025-03-29 14:05:41,Barbara Hopkins,reynoldserica@gmail.com,(859)645-6620,Facebook,Jonathan Stevenson,2025-04-11 14:05:41,2025-04-16 14:05:41,Contacted,born,Mission performance participant.,2025-04-18 14:05:41,12,1,2
182,2025-02-15 15:00:10,David Black,charlessanchez@burns.com,+1-605-870-2968,Instagram,Melinda Lowe,2025-03-09 15:00:10,2025-03-30 15:00:10,Under Contract,require,Spend both upon until recently wind.,2025-03-15 15:00:10,20,4,7
183,2025-06-11 15:14:45,Gail Pittman,robertibarra@gmail.com,521-869-3429x5787,Google Ads,Michelle Richardson DVM,2025-06-16 15:14:45,2025-07-09 15:14:45,Appointment Set,"recognize, yard, rather",Accept blood fight method consider economy.,2025-06-20 15:14:45,20,0,10
184,2025-04-28 23:24:06,Patricia Garza,bsantos@yahoo.com,(128)064-3198x054,Instagram,Roger Davis,2025-05-11 23:24:06,2025-06-02 23:24:06,Closed,explain,Likely actually bar discussion.,2025-05-19 23:24:06,2,4,1
185,2025-07-20 21:08:07,Jessica Matthews MD,sprice@yahoo.com,848-736-4697x99483,Referral,Tamara Davis,2025-08-09 21:08:07,2025-09-02 21:08:07,Active,"new, perhaps",View deep nearly capital.,2025-08-10 21:08:07,9,0,5
186,2025-01-27 08:46:05,Jacob Miller,wrightstephen@gmail.com,+1-949-117-4009x1834,Google Ads,Michelle Richardson DVM,2025-02-02 08:46:05,2025-02-19 08:46:05,Under Contract,"body, show, fine",Life energy design budget.,2025-02-10 08:46:05,20,5,1
187,2025-03-19 21:40:12,Steven Jones,randallsummers@gmail.com,+1-310-735-4171x85508,Zillow,Melinda Lowe,2025-04-03 21:40:12,2025-04-24 21:40:12,Under Contract,"throughout, surface",Gas system security.,2025-04-07 21:40:12,16,0,7
188,2025-06-21 14:57:19,Madison Love,christophergarcia@mendez.com,7717126881,Google Ads,Shane Delgado,2025-07-14 14:57:19,2025-08-09 14:57:19,Appointment Set,"start, behind",Price marriage nothing move century thought claim.,2025-07-23 14:57:19,25,2,3
189,2025-01-23 06:46:38,John Stanley,penadustin@hotmail.com,(143)137-3389x047,Organic,Brian Harris,2025-01-27 06:46:38,2025-02-16 06:46:38,Appointment Set,"particularly, easy",Drive your interesting whom.,2025-02-05 06:46:38,10,2,9
190,2025-04-27 12:13:36,Kimberly Thomas,cmoreno@hotmail.com,+1-561-578-3806,Google Ads,Michelle Richardson DVM,2025-05-18 12:13:36,2025-05-28 12:13:36,Contacted,"high, already, perform",Respond treatment talk to.,2025-05-19 12:13:36,11,4,9
191,2025-05-15 07:52:45,Paul Oconnor,danielalicia@hotmail.com,364-790-5221x015,Zillow,Jeffrey Bass,2025-05-19 07:52:45,2025-05-25 07:52:45,Appointment Set,while,Store news in third executive subject night hold.,2025-05-29 07:52:45,5,5,4
192,2025-02-23 04:38:20,Michael Ward,cconley@ramos.com,+1-827-955-1983x48306,Organic,Tamara Davis,2025-03-09 04:38:20,2025-04-05 04:38:20,Active,decision,Site smile approach.,2025-03-15 04:38:20,2,4,4
193,2025-02-05 23:49:57,Robert Smith,barrymartin@hotmail.com,(696)115-9461,Referral,Melinda Lowe,2025-02-18 23:49:57,2025-02-22 23:49:57,Closed,social,Water a institution career.,2025-02-28 23:49:57,13,1,8
194,2025-01-26 11:36:10,Becky Russo,james74@hotmail.com,907-413-8444,Instagram,Michelle Richardson DVM,2025-02-11 11:36:10,2025-03-13 11:36:10,Active,"chance, guy",During understand month oil girl trade probably price.,2025-02-18 11:36:10,9,1,8
195,2025-02-12 23:49:10,Zachary Walker,jhoward@smith-bauer.com,001-677-813-3284x89802,Facebook,Jeffrey Bass,2025-03-02 23:49:10,2025-03-21 23:49:10,New,"help, give, American",Whether by about week policy.,2025-03-08 23:49:10,11,3,10
196,2025-03-31 18:08:42,Benjamin Flores,jonesapril@conley-cohen.com,(973)561-3185x15283,Google Ads,Tamara Davis,2025-04-05 18:08:42,2025-04-30 18:08:42,New,interest,Yes site actually star seem while.,2025-04-10 18:08:42,9,2,4
197,2025-06-16 09:13:42,Sandra Cruz,andersonkristin@brady.net,001-053-470-8226x9365,Google Ads,Brian Harris,2025-07-12 09:13:42,2025-07-29 09:13:42,New,newspaper,Environment anyone join through pick last his.,2025-07-16 09:13:42,22,4,10
198,2025-06-25 16:01:36,Michele Ibarra,tmedina@yahoo.com,298.837.4195x376,Zillow,Jonathan Stevenson,2025-07-17 16:01:36,2025-08-08 16:01:36,Closed,increase,Trip high respond expect hotel any account.,2025-07-19 16:01:36,10,5,6
199,2025-02-02 00:26:42,Amanda Logan,hollymiller@gmail.com,(497)937-6017,Instagram,Jonathan Stevenson,2025-02-03 00:26:42,2025-02-18 00:26:42,Contacted,"interesting, research",Remain arrive record market.,2025-02-07 00:26:42,26,3,6
200,2025-04-01 14:45:01,Kenneth Jackson,imorrison@hotmail.com,651.762.5814x89761,Facebook,Roger Davis,2025-04-04 14:45:01,2025-04-11 14:45:01,Dead,"value, feel",Little land war hit above language outside.,2025-04-08 14:45:01,9,1,9
201,2025-05-14 14:12:55,Cynthia Wright,jmosley@hotmail.com,(241)138-9911x4778,Facebook,Roger Davis,2025-05-17 14:12:55,2025-05-25 14:12:55,Closed,"identify, physical",Own statement improve between.,2025-05-24 14:12:55,28,5,6
202,2025-01-19 02:14:58,Craig Gentry,kelliott@riley-luna.com,(604)084-3067,Facebook,Shane Delgado,2025-01-23 02:14:58,2025-02-10 02:14:58,Dead,"success, help, simple",Live sing bag.,2025-01-30 02:14:58,8,3,9
203,2025-03-22 19:33:50,Deborah Brooks,proctorkristen@dodson.com,(203)541-7702,Referral,Shane Delgado,2025-04-11 19:33:50,2025-04-14 19:33:50,Contacted,that,It current business major owner.,2025-04-20 19:33:50,4,2,3
204,2025-04-21 13:26:16,Michelle Tyler,schmidtjessica@hotmail.com,+1-216-191-7618x0999,Instagram,Linda Macdonald,2025-05-06 13:26:16,2025-05-16 13:26:16,Dead,"sound, different, strategy",Section director space price here soldier.,2025-05-14 13:26:16,10,4,9
205,2025-03-16 06:46:50,Mr. Daniel Sanford,kennethcraig@pittman-howell.com,+1-841-635-0907x527,Zillow,Jeffrey Bass,2025-04-11 06:46:50,2025-05-09 06:46:50,New,old,Work finish crime ready put scientist.,2025-04-17 06:46:50,11,2,0
206,2025-02-21 13:58:02,Kenneth Rogers,ywatson@gmail.com,197-014-1907x71725,Google Ads,Tamara Davis,2025-02-23 13:58:02,2025-03-07 13:58:02,Closed,building,From over maintain no process machine.,2025-02-28 13:58:02,4,0,0
207,2025-05-25 18:06:31,Shelby Pope,bonnietaylor@schwartz-evans.com,764-312-5561,Instagram,Roger Davis,2025-06-02 18:06:31,2025-06-11 18:06:31,Dead,"because, itself",Little tell machine wind.,2025-06-05 18:06:31,4,5,10
208,2025-04-09 11:24:52,Robert Garcia,taylormichael@larson-schwartz.com,(787)300-8664,Referral,Michelle Richardson DVM,2025-04-16 11:24:52,2025-05-10 11:24:52,Closed,"trial, soon, from",Explain last administration our her water.,2025-04-20 11:24:52,8,2,2
209,2025-04-26 05:30:47,John Benjamin,tjefferson@gmail.com,581.208.5712x02991,Zillow,Rita Curry,2025-05-07 05:30:47,2025-05-08 05:30:47,Contacted,"whose, politics",West need charge movement order.,2025-05-16 05:30:47,9,5,8
210,2025-02-15 12:45:38,George Harmon,aboyd@lane.com,936-627-3153,Referral,Jeffrey Bass,2025-02-23 12:45:38,2025-02-26 12:45:38,Closed,generation,Hand skill state here.,2025-02-28 12:45:38,11,0,7
211,2025-06-01 01:20:20,Christopher Sanchez,medinatravis@yahoo.com,278.444.9563x0522,Zillow,Rita Curry,2025-06-21 01:20:20,2025-07-15 01:20:20,Contacted,"special, story, hour",Skin draw notice whole share machine color know.,2025-06-28 01:20:20,8,2,3
212,2025-01-21 19:52:21,Todd Brown,mitchellashley@gmail.com,726.585.7737x10052,Zillow,Jonathan Stevenson,2025-02-01 19:52:21,2025-02-16 19:52:21,Under Contract,every,Staff about positive reveal who task perhaps together.,2025-02-07 19:52:21,19,3,5
213,2025-03-20 13:59:46,Elaine Erickson,lbrown@mills.com,(491)481-6911,Instagram,Shane Delgado,2025-04-04 13:59:46,2025-04-11 13:59:46,Contacted,"side, property",Phone happen rock write send.,2025-04-12 13:59:46,3,1,6
214,2025-06-03 02:06:40,Erika Romero PhD,james31@gmail.com,+1-817-181-2481x80113,Referral,Shane Delgado,2025-06-20 02:06:40,2025-07-14 02:06:40,Closed,"issue, yard, experience",Wait person sport give carry black those.,2025-06-27 02:06:40,24,1,10
215,2025-07-01 07:56:47,Sharon Jones,john92@gmail.com,473-669-2761x5608,Instagram,Shane Delgado,2025-07-06 07:56:47,2025-07-29 07:56:47,New,"attention, heavy",Whatever necessary politics trip focus trip.,2025-07-16 07:56:47,3,5,7
216,2025-01-19 11:09:59,Wendy Hernandez,diazjennifer@morales-hughes.org,001-498-136-0958x892,Google Ads,Jonathan Stevenson,2025-01-24 11:09:59,2025-02-22 11:09:59,Appointment Set,catch,Now which so cut onto drug.,2025-01-27 11:09:59,20,5,4
217,2025-06-26 12:44:34,Logan Daniels PhD,jonesbrandon@wagner.biz,(362)557-1672,Google Ads,Melinda Lowe,2025-07-15 12:44:34,2025-08-09 12:44:34,Dead,"represent, from, whole",Stuff life turn travel speak.,2025-07-21 12:44:34,21,4,4
218,2025-01-10 01:31:47,Kaitlyn King,austin92@hotmail.com,529-052-6779x976,Instagram,Linda Macdonald,2025-02-06 01:31:47,2025-03-03 01:31:47,New,"condition, speak, involve",One room return believe run two money.,2025-02-10 01:31:47,5,4,9
219,2025-05-10 06:30:43,Johnny West,montoyalauren@hotmail.com,001-369-278-5511,Organic,Brian Harris,2025-06-06 06:30:43,2025-06-29 06:30:43,New,"spring, despite, door",Well today two.,2025-06-09 06:30:43,24,2,9
